airline,name,retweet_count,text,user_timezone
Delta,saltrejo,0,"@JetBlue Love you, bae. #JetBae",Mountain Time (US & Canada)
United,MeYoItsMe,0,@united WHAT?! Y'all have zero concept of customer service. Oh...and now my connection is delayed too!,nan
Southwest,natedlee,0,@SouthwestAir TSA Pre isn't showing up on my boarding passes and I've followed all of the steps. Please help.,Eastern Time (US & Canada)
United,TheMouthLAKings,0,@united negative. Done wasting time with amateurs at customer service. Thanks for at least offering.,Pacific Time (US & Canada)
United,Jim_Rehbein,0,"@united @czamkoff It's all about profit, and they don't really give a damn about paying customers!!!! #greed",Eastern Time (US & Canada)
United,NewsLadiesNeed,0,@united Why do I still not have my bags? They arrived @10AM &amp;website says they're still at the airport..2 1/2 hours Late Flightr???!! #nothappy,Eastern Time (US & Canada)
United,rlgeraets,0,"@united-rebooked to OMA - 180 miles from my destination. Spotty customer service. I get staff stressors but come on, this is your business.",nan
United,aliasboogie,0,@united I was denied getting on the plane w/o getting the chance to prove it fits. I'm not a rookie. Read my bio.,Eastern Time (US & Canada)
United,unvoiced,0,@united in ORD hotel issued to my 4yr old. Tickets needed fixing again another hour and 5 agents l8r nightmare still not over,Taipei
US Airways,GREATNESSEOA,0,@USAirways that's who I spoke to already. We've already booked another flight w/someone else. Thanks for your concern. Just wanted to,nan
Delta,Lane_,0,@JetBlue flight 577  fll to sfo. No speed line even though I paid for it. No coffee on flight. and my non stop now has an unscheduled stop,Eastern Time (US & Canada)
Southwest,Shan_Lyn,0,@SouthwestAir NOR @SpiritAirlines fly to Toronto?!?!? You're killing me smalls.......,Central Time (US & Canada)
United,140JustinC,0,@united any chance you could look into my problem from earlier?,Atlantic Time (Canada)
Southwest,flee787,0,"@SouthwestAir Completely understand Act of God weather-reLate Flightd Cancelled Flightlation, but 4 days without reimbursement of any kind is #unacceptable",Eastern Time (US & Canada)
Southwest,joshuapromero,0,@SouthwestAir So far so good! http://t.co/16c9ex79Rk,Pacific Time (US & Canada)
American,wbarkema,0,@AmericanAir fortunately the window seat was a no-show. Able to scoot over and create space.,Central Time (US & Canada)
Southwest,lajollamom,0,@SouthwestAir right? We're delayed so I'm crabby. :) Also why do you allow one family member to purchase EarlyBird check in and hold rows?,Pacific Time (US & Canada)
Southwest,sillyredn3k,0,@SouthwestAir crew on flight 206 is awesome! Tell them I sent this tweet and maybe they will give me free wifi... #canthurtasking,nan
Southwest,gregg_mccoy,0,"@SouthwestAir not sure why we are still here in Dallas.  Plane has been at gate for 30 min.  No update at all.  Flight 1140, poor service.",nan
US Airways,chrisseifert83,0,@USAirways not happening #worstairlineever also Marie Burroughs is the worst customer service rep ever #yourairlinesucks,Eastern Time (US & Canada)
United,santiagopinzong,0,"@united we finally just arrive to Bogota, good but long flight!!",Central Time (US & Canada)
United,brooklyn_dodger,0,@united empathizes w/ my disappointment that 1stClass flight w/nonworking entertainmnt is worth $50. #UnFriendlySkies http://t.co/lOecO4gmvd,Eastern Time (US & Canada)
American,Brittany1golf,0,@AmericanAir they @cathaypacific @cathaypacificUS can't even tell me what country they are in 😥😥,Eastern Time (US & Canada)
US Airways,rossj987,0,@USAirways IS THIS RINGLING BROTHERS BARNUM AND BAILEY???  SHOULD I KEEP MY EYES PEELED FOR THE CLOWN CAR???,Eastern Time (US & Canada)
Delta,SusetteAG,0,@JetBlue thanks for a speedy flight time recovery.,Eastern Time (US & Canada)
United,Emily_VII,0,@united you are one great airline ❤️,Hawaii
Southwest,cosmicghoul,0,@SouthwestAir it keeps saying that mobile boarding passes are unavailable despite having checked in and everything,Pacific Time (US & Canada)
United,peteeustic,0,@united you do realize my wife is waiting on a delayed flight at this very moment.  I'm not sure I understand your tweet.,nan
US Airways,weezerandburnie,0,@USAirways @AmericanAir  worst customer service ever how can you let people be assaulted on your flights and do nothing about it,nan
US Airways,kbutsunturn,0,"@USAirways with the weather mess in the South, I missed my connection in CLT. Impressed though with the Cust Serv phone reps today.",nan
US Airways,iamlisa222,0,@USAirways can you explain why I am on hold over an hour .Other than I'm dumb and should be using a different airline #wth,Central Time (US & Canada)
Southwest,Laulipop517,0,@SouthwestAir thanks for your excellent response time and assistance! All set :),nan
Delta,scrappiedoodle,0,@JetBlue Awesome! Thank you! ;),nan
United,D_WaYnE_01,0,@united DM sent as requested. Make sure you follow back so you can DM me back. Thanks,nan
US Airways,feizchristian,0,@USAirways thanks for three Cancelled Flightled flight and making us go from raleigh to charlote to lexington to philly. istead of raleigh to philly,nan
Delta,gczark,0,@JetBlue thank you. Just sent msg.,Eastern Time (US & Canada)
United,LuxuryFred,0,@united enjoyed #heathrow lounge so much i almost missed my @airnzusa flight!,Arizona
Southwest,katxc,0,@SouthwestAir My DM won't go through but it is 261633561838. Please let me know if you need anything else.,Central Time (US & Canada)
Delta,thatsmypotpie,0,@JetBlue flight 1183 to Orlando.,Eastern Time (US & Canada)
US Airways,TotalRugby,4,@USAirways @DRVRugby  team is back home but luggage all wet and partly damaged - Not happy! #blizzard,Berlin
US Airways,JasonPlizga,0,@USAirways How soon is possible? I boarded the plane the 1st time at 6:30 am and it is now after 11:30 am and I'm still where I started.,nan
United,JoeSchueller,0,@united Ha… you rebooked me in to an 11 hr layover &amp; are robbing me of a night with my family. Too Late Flight for that. Just fly on time for once.,Central Time (US & Canada)
American,GMFujarski,0,@AmericanAir what are the odds my bag was picked up by someone not me while in another country? Because it says it hasn't been located yet.,nan
US Airways,PatrickCronin10,0,@USAirways flt 470 Tampa to CLT is very Late Flight gonna miss conn to BOS what can you do?,Eastern Time (US & Canada)
American,2tsieRole,0,"@AmericanAir My chariot tonight. From this angle it looks like a 787, no? http://t.co/3ZZKQWWbJz",Brasilia
American,_dashingxmizfit,0,@AmericanAir dmed back,Central Time (US & Canada)
US Airways,CourtneyyKay,0,@USAirways and I can't get through on any phones,Eastern Time (US & Canada)
Southwest,quiltbabe,0,"@SouthwestAir bumped me to preboard on both flights (because I'm fat?) Whatever the reason, thanks!",Eastern Time (US & Canada)
United,joelraronoff,0,@united 45 minutes after arrival and no bags for most people. UA469 from den to ewr. How long should we wait until a ual rep comes here?,Mountain Time (US & Canada)
US Airways,DanKolbet,0,"@usairways Row 16, flight 634 today if you're looking for specifics! I can run to Home Depot for the WD40 you if you need.",Pacific Time (US & Canada)
Delta,LisaTweetsa,0,@JetBlue I've used you guys for 10 years but after this experience I will NEVER EVER use you again.,Quito
American,SmithsAreRare,0,@AmericanAir On flt 1627 from DFW to FAT on 2/23 and it was 86'd. Can you rebook me on the 1359 flight tonight? Can't get through on phone.,Central Time (US & Canada)
Delta,yippersNY,0,"@JetBlue No, he didn't have more info. I was more infuriated by the way previous rep treated me. how she can possibly work as a JetBlue rep?",nan
US Airways,masonkesner,0,@USAirways I’ll do that in addition to reviewing on my blog. Your agents were pleasant but the experience was less than :/,Central Time (US & Canada)
Delta,PatricePinkFile,0,@JetBlue BOS to DCA 1098 at 7:16 pm.,Eastern Time (US & Canada)
Delta,MerrickRealtor,0,@JetBlue waited for 15 min then got disconnect,America/New_York
United,Madisonnnicole3,0,@united a rapid trip plane ticket from Idaho to California that doesn't have problems would be wonderful,nan
United,NosihtamInc,0,"@united your first class is a joke, compared to all the others I have flown, don't ask for extra peanuts... That's NOT allowed! @AirCanada",Central Time (US & Canada)
Delta,aaronkinnari,0,@JetBlue 4 hr delay on flight to JFK via Tampa &amp; worst customer service in San Juan airport. This after app not working all day.,Quito
Southwest,1KingMeech,0,@SouthwestAir just announced non-stop flights to Dallas from Columbus. Well next time @iGotMonte best you'll have less time airport hopin 😂😂,Central Time (US & Canada)
United,Nick_Delray,0,@united just added one. Ty,nan
US Airways,lj_verde,0,@USAirways now the freezing bus is just doing circles?,Eastern Time (US & Canada)
United,TimothyJGill,1,"@united besides landing the plane, overall customer service experience has been poor. Late Flight and rude workers plus missing luggage",Eastern Time (US & Canada)
American,GREATNESSEOA,0,@AmericanAir especially during a death in the family and still no solution. 96 hours and counting...Thanks,nan
US Airways,RyanMelton,0,@USAirways connection made. Thanks again this week. #daddyshome,Central Time (US & Canada)
Delta,mellamommy,0,"@JetBlue received horrible customer service at LAX on 2/11. Reservation Cancelled Flighted without notification, despite having confirmation number.",nan
American,GarrettBogar,0,"Nice try @AmericanAir I heard your crew whisper ""she's still at the hotel, she probably doesn't think she has to work until tomorrow""",nan
American,nlrphoto,0,“@AmericanAir: @nlrphoto Those are very beautiful photos!” Thx! Would marketing dept be interested in buying?,nan
Southwest,oliviaxfaye,1,@SouthwestAir I was on hold for 30 minutes &amp; no one knows how to win these tickets that you're still handing out? #DestinationDragons,nan
United,JuanJoseRG02,0,"@united: ""Left gate 5 minutes early."" 
My thoughts: ""That doesn't count if you sit on the Tarmac for a half hour."" #comeonpeople",Central Time (US & Canada)
American,poolinenaidoo,0,@AmericanAir pathetic to have your gate agents lie to my face when you are at fault,Central Time (US & Canada)
Southwest,MinderJoan,0,@SouthwestAir Scott is the best!!! Thank yo from the bottom of my heart💕#DestinationDragons with friends in LA @HayleyMad see u Friday,Eastern Time (US & Canada)
American,pbpinftworth,0,@americanair Yes to the iOS. I'm running iOS 8.1.3,Central Time (US & Canada)
American,mirmanwar,0,@AmericanAir can I DM you info?,Quito
US Airways,drfrnknsteindmd,0,"@USAirways @AmericanAir I'm stuck in the airport in fresno trying to beat the storm to pittsburgh, and you guys have offered nothing. HORRID",nan
American,rockyparr,0,@AmericanAir poor customer service is just unacceptable.. Also how bout the surfer on the front of your website. #noloveforsurfers #pretend,nan
Delta,AirlineAdviser,0,@JetBlue #Bluemanity @AirlineAdviser loves this. Have a great time flying this,nan
American,gcollingwood,0,@AmericanAir @contactcej thanks!,nan
United,TaylorGravett,0,@united please be good to me this weekend!,Central Time (US & Canada)
American,MatthewJMedlin,0,@AmericanAir rented van drove 250 miles with 6 strangers.  Arrived home 6:00am. No offers of help from AA. http://t.co/BTTGmyN0A0,Atlantic Time (Canada)
United,LarkAfterDark,2,@united wont transfer flight ticket to accompany an 11 yr old who's active military mom had to have emergency brain surgery? WOW!!,nan
Southwest,BattleB_studios,0,@SouthwestAir our flight is delayed till tomorrow curse the weather,nan
United,BrianReinert1,0,"@united worst airline in the world-8 delays, gate agent loses her mind over 1.5 lbs and charges me $100 on top of the $25 I already paid!!",Eastern Time (US & Canada)
US Airways,XtianinNYC,0,@USAirways How dirty does the damn plane have to be to take an hour to get the plane cleaned??? Refund me my miles😡. #wasteoftime #theworst,Eastern Time (US & Canada)
Southwest,bjpoppe,0,@SouthwestAir @MichaelBColeman - thanks for making new direct flight to San Francisco.,Eastern Time (US & Canada)
Southwest,slemus12,0,@SouthwestAir you know what'd be beyond awesome? A pair of tickets to the @Imaginedragons show in ATL. A girl can dream #DestinationDragons,Eastern Time (US & Canada)
American,sarahzou,0,"@AmericanAir Cancelled Flightled my flight, didn't notify me, and I can only rebook by phone, but can't get through to an agent. Epic. Fail.",Central Time (US & Canada)
Southwest,mullane_michael,0,@SouthwestAir On hold with airline 45 min and counting. Service is terrible!,nan
United,JackieSken,0,@united Item (not mine) mysteriously ended up in my checked bag after a #EWR to #YOW flight.  Missing a black box? http://t.co/SJQEmDtQmA,Eastern Time (US & Canada)
Southwest,kelsey_rae2011,0,@SouthwestAir tv stream means I get to spend my flight watching 1999 and 2011 Women's World Cup Finals. #throwback #bestflightever,nan
Southwest,HaleyOstrander,0,@SouthwestAir once again on Glassdoor's Best Places To Work snagging # 15 overall #notsurprising #LUVthem,nan
United,scottychadwick,0,@united day 3 of this Saga maybe they'll finally make it home.Intentional or not it not gonna get them back there vacation days #badservice,Eastern Time (US & Canada)
US Airways,Jack_Kairys,0,@USAirways your service has been awful in Boston and I had to pay 25 extra dollars than I was supposed too I am very dissatisfied #mad,nan
Southwest,GRitchart,1,@SouthwestAir been on hold now for 1 hour 20 minutes with cust service. Can you help?,nan
US Airways,JabbarLewis,0,@USAirways my flight is Cancelled Flightled and you guys aren't Answering the phones what do I do ?,Central Time (US & Canada)
US Airways,sheiladeca,0,@USAirways NOT GOOD. been on hold for 1hour (2x/day) since sun. to book 1-way flt dividend miles. agents send me to on hold hell. #furious,Atlantic Time (Canada)
United,DNLee5,0,"@united my flight out of BGM Cancelled Flightled last night, I get a hotel voucher, but had to pay for a cab back. Worse cab experience ever",Central Time (US & Canada)
American,LancasterPattie,0,"@AmericanAir You are jumping the gun and Cancelled Flighting flights that could've made it before the snow. Now, more Cancelled Flightlations. It's ridiculous.",nan
American,dgoot,0,@AmericanAir I'm on 1024 into Dallas. Do I have any chance of catching 2238 to Boston? Do I need to run from Gate D6 to A15?.,Mountain Time (US & Canada)
United,SomuchWhit,0,@united but again UNITED DOESNT GIVE 2 SHITS ABOUT THEIR CUSTOMERS,Pacific Time (US & Canada)
Southwest,mybadtequila,0,@southwestAir SWA agent Jacquie Plitt @Orangecounty SNA rudely tells me You're not going 2 CABO today or manana back 2 PHX flew @USAirways,Mountain Time (US & Canada)
Southwest,desh9583,0,@SouthwestAir - holding us hostage for about an hour with no updates if they are taking us to NY or not. What's going @southwestair,nan
Southwest,ItsDTruth,0,@SouthwestAir I've been on hold almost an hour! I LUV y'all but #ImJustSaying 😔😔😔 http://t.co/t6fYyBHjhL,Central Time (US & Canada)
Southwest,UnprovenTheory,0,@SouthwestAir Cancelled Flightled my flight without explanation and won't pick up the phone...25 minutes and counting.   #customerservice @olive201,nan
American,maccom,0,@AmericanAir hour and a half after landing bags are finally trickling off. http://t.co/4KbTzVjU3b,Mountain Time (US & Canada)
American,sweet8mel,0,@AmericanAir thinks it's a good cs to get everyone through the gate for flight 4275 then we wait bc plane not ready http://t.co/rxmjWoo7Qi,nan
United,karenharbert,0,@united Bummer. Might have to go with @AmericanAir card instead. TY for response though.,Eastern Time (US & Canada)
Delta,brittneythebee,0,😂😂 RT @JetBlue: Our fleet's on fleek. http://t.co/rinzYSK6kI,Quito
United,SomuchWhit,0,@united have an employee at the gate 15min before boarding like u expect ur customers to. Be a competent company like ur rivals,Pacific Time (US & Canada)
Delta,kbosspotter,0,@JetBlue is it true there's a new A320 livery and a new website...?!,Atlantic Time (Canada)
US Airways,therealcharlie,0,@USAirways Hi guys! Are flights 5594 and 3937 still on time? The site and app are both down and I can't check. Thanks!,Sydney
US Airways,bobbyisaacson,0,@USAirways will I get the full amount credited to my account for US Airways credit?,Pacific Time (US & Canada)
Delta,KBeckwithDane,0,@JetBlue mechanical failure isn't Boston' fault.,nan
American,DrAndyBaldwin,0,"@AmericanAir why does your customer service line say ""we are experiencing high call volume"" and then spontaneously hangup on the person?",Eastern Time (US & Canada)
American,la_anne,0,"@AmericanAir @Delta @JetBlue can you help? @SpiritAirlines is in the wrong, stuck in Florida 3days. They need to learn from real airlines.",nan
Southwest,passthechorizo,0,"@SouthwestAir- ...was only less than 3500pts, but it helped. Had PartnerRewards incoming, but not fast enough to keep pts from expiring.",Central Time (US & Canada)
US Airways,TomFutureforall,0,"@USAirways btw, not upset at usaiways, promise.",nan
American,ameliasaletan,0,"@AmericanAir For the love of all that is holy, if your automated phone system is going to give like 8 options, give numerical shortcuts",Eastern Time (US & Canada)
US Airways,rossj987,0,"@USAirways And by the way, I'm planning it while I've Ben waiting in the line at customer service in PHX...for over an hour!",Eastern Time (US & Canada)
American,mjsorci,0,@AmericanAir thx for losing my bag. How hard is it to care for a bag w PRIORITY on it?why do u cont to not care for EP's?,nan
Virgin America,floatingatoll,0,"@VirginAmerica on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight",Pacific Time (US & Canada)
American,SuperGlueMom,0,@AmericanAir I was happy to purchase the upgrade. If only it was avail on my next flight.,Eastern Time (US & Canada)
Southwest,littlemissjacob,0,"@SouthwestAir Just wanted 2 change an anytime flight leaving at 11:50 @ 11:00. Phone hold 4 46mins. Phone answers, she says sorry - no dice.",Pacific Time (US & Canada)
United,Easy_E_,0,@united Hi. My 2/23 flight from CUN-EWR shows a departure of 2:55pm on my United app.  Can you confirm?  Doesn't look correct.  Thanks.,Eastern Time (US & Canada)
Delta,mkboston13,0,@JetBlue do you have direct flights to and from Bos to St Lucia or Antigua?,Quito
US Airways,mattiasskovhoej,0,@USAirways Will you pick up your phone then?,Copenhagen
Southwest,jsanner2,0,"@SouthwestAir I love you guys, but even Comcast has a better phone help system. A simple callback system would fix most of the problem...",nan
Southwest,enzo_the_baker,0,@SouthwestAir I was on hold for over 2 hours and my call got disconnected. Thanks a lot.,Eastern Time (US & Canada)
Delta,OverTheEdge55,0,@JetBlue  will do.,nan
American,Aero0729,0,@AmericanAir flight attendants on AA2402 were spectacular.Fed the ENTIRE cabin then food from coach. Why do you keep serving this vile food,nan
Southwest,blakeherpeche,0,@SouthwestAir can @Sagerooski &amp; I use your luggage scale to measure our weight loss? One scale for each foot @ home is not accurate anymore.,Eastern Time (US & Canada)
Delta,gpsomo,0,@JetBlue so the prefference option is not something that you honor? So why having it as one of the services if not applied?,nan
Delta,Darshan7Patel,0,@JetBlue please provide me your direct email for me to explain.,nan
US Airways,ucbearcatdad,0,"@USAirways , since jan 22 have been on 10 flights. Why the disrespect in CLT, flt #2063 at 2:50pm on 18feb to DCA? just asked herba question",nan
Southwest,chadlacalamita,0,@SouthwestAir aren't you based in Chicago? Why are you doing a hunt in LA and not your home city????!! Please bring one home,nan
Southwest,JReneeX0X0,0,@SouthwestAir any word when the customer relations department will open back up?,Eastern Time (US & Canada)
American,byunsamuel,0,@AmericanAir Hopefully you ll see bad ones as opportunity to get better and not dwell in it... and the good ones as encouragement words!,Eastern Time (US & Canada)
United,SmallMol,0,@united I see. Thanks for explaining.,nan
United,mattscottcrum,0,@united or @flysaa has lost my baggage… heard different things from different employees of @united. @flysaa has said nothing.,Mountain Time (US & Canada)
Delta,andrewdobos,0,.@JetBlue yes. Filed a claim and they issued $30 credit as a courtesy. The whole thing seems exceptionally uncourteous to me.,Eastern Time (US & Canada)
United,cristyg3,0,"@united hi JH. Yes please. Since I lost almost a whole day on the way out, could you help me change my return for one day Late Flightr?",Eastern Time (US & Canada)
United,thebadvillain,1,@united do you know how to use twitter bro?  Your terminal looks like it's in Bosnia.  Here's another pic. http://t.co/M9Nywr5Kbs,nan
American,Caleigh_Wilson,0,@AmericanAir We tried with multiple people. I already sat on the phone for an hour and a half and got nowhere.,nan
Delta,AlwaysTicosGirl,0,@JetBlue @Cinnabon the two of you should team up to serve cinnabons on the flights!!!! #BonsInTheSky,Eastern Time (US & Canada)
Delta,ToriThatMexican,0,@JetBlue I applied for a job at PDW where could I go for follow up. I'd really love the job #ilovejetblue,Arizona
United,themkhiggy,0,@United I'm pretty sure I've got shin splits from SPRINTING through IAH only to watch my plane pull away from the jet way...,Central Time (US & Canada)
US Airways,dan3598328,0,@USAirways i will be Cancelled Flighting my us airways credit card and choosing other airlines after my experience this week.,Eastern Time (US & Canada)
American,HaileyUrban,0,@AmericanAir a confirmed flight. I'm so done! Thanks for nothing!,Alaska
US Airways,KyleHanagami,0,@USAirways is the worst. I have to pay $200 just to NOT take my first flight in a round trip! Otherwise they'll Cancelled Flight my whole flight.,Pacific Time (US & Canada)
Southwest,CiaoBambino,0,@SouthwestAir what number can we use to all from outside the US? Thx,Pacific Time (US & Canada)
Delta,BernardLeCroix,0,@JetBlue I clear that folder regularly and JetBlue is white listed so it never got to me.,Eastern Time (US & Canada)
Delta,MerrickRealtor,0,@JetBlue  no ... I am guessing I have to call someone,America/New_York
United,HeidiJern,0,"@united thanks for the link, now finally arrived in Brussels, 9 h after schedule...",nan
United,D_WaYnE_01,0,@united I just booked a flight for (2). When I view my reservation it has MI connected to First name. Is this a problem? can it be changed?,nan
American,csckirk,0,@AmericanAir With snow/ice forecast DFW Tu pm-We am what is change policy on reservations we hold Wed morning? Any leeway??,Central Time (US & Canada)
American,flemmingerin,0,@AmericanAir if you could let me know where I'm staying tonight (if you've booked anything) that would be great. Do I have to go to the,nan
United,marynevis,0,@united I will. Thanks.,Pacific Time (US & Canada)
Southwest,DSims3,0,@SouthwestAir Yes! How about #DestinationDragons in San Diego?!?,Pacific Time (US & Canada)
US Airways,Allisonjones704,0,@USAirways you gladly take the loyal customer's money but when you cause an inconvenience you do nothing to help fix the problem you caused.,nan
American,JonGilsonAF,0,"@AmericanAir bought a ticket on @SouthwestAir. After two days, your ""team"" couldn't share the data needed to get me to my next meeting.",nan
US Airways,tayyp_,0,"@USAirways I been sitting on this plane for 40 minutes, and they are saying another 15 minutes something about paper work. This sucks !!",Central Time (US & Canada)
Southwest,kd35ftw1,0,@SouthwestAir Not possible to carry-on and put in a closet/overhead? Had success doing that with other airlines. Thanks,nan
US Airways,jimmydubbybubby,0,@USAirways i thought @united was the worst airline but nah. You guys are far worse. Is @Delta the only decent airline out there?,Central Time (US & Canada)
American,danilo23donna,0,@AmericanAir what kind if airlines do you guys run? The people that got in line first received hotel vouchers? Terrible customer service!,nan
Southwest,taesaunt24,0,@SouthwestAir any idea on flights to Nashville tomorrow being clear or Cancelled Flightled,Central Time (US & Canada)
US Airways,ERHinman,0,"@USAirways if my flight's been Cancelled Flightled, and I can't reach anyone over the phone or ticketing agents, safe to assume I wasn't rebooked?",Eastern Time (US & Canada)
US Airways,Ltos5363,0,@USAirways Flight Cancelled Flighted because of #Neptune Could not get to my destination. #notmyfault  #waive$200fee #ripoff #poorcustomerservice,Eastern Time (US & Canada)
Southwest,sick_beat_swift,0,@SouthwestAir Could you maybe hook (@FuyukaiDesuYo ) with some imagine dragon tickets tonight! SHES a HUGEEEEE FAN &amp; would really love to go,nan
Delta,MarkGuerra3,0,@JetBlue Happy Anniversary!! It's hard to believe you're 15!! You're so young!,nan
Delta,sunflwer1975,0,@JetBlue its domestic I just wanted more of an idea so I don't get surprised.,Arizona
Delta,dlewis2412,0,“@JetBlue: @dlewis2412 Sorry! Please ask Inflght if there is an open seat you can move to.” Will do!,Atlantic Time (Canada)
United,starbeer,0,"@united ah, that would explain why crew didn't seem particularly distressed when we pointed it out. It was a little startling at first.",Eastern Time (US & Canada)
US Airways,scottydont11,0,@USAirways Not only did u lose the flight plan! Now ur flight crew is FAA timed out! Thx for havin us sit on the tarmac for an hr! #Pathetic,Mountain Time (US & Canada)
United,irenefromakovos,0,@united can you not see the thread?,nan
American,Mj_Effects,0,@AmericanAir this is the biggest joke of #customerservice I've ever seen from a  ✈️ brand http://t.co/XHSUUpHeZe,Eastern Time (US & Canada)
US Airways,Allisonjones704,0,@USAirways why does it cost $900 to change a $100 ticket when it only cost $150 to purchase a new ticket?,nan
Southwest,WillBursch,0,@SouthwestAir would really like my baggage from yesterday. Employees at Akron giving me a tough time.,Quito
American,itsNGHTMRE,0,@AmericanAir 🙏 in my hotel now. Thank you!,Pacific Time (US & Canada)
US Airways,beekaytulsa,0,"@USAirways I was told a ""return call"" by a human",Central Time (US & Canada)
United,Atrain_8,3,"@united you can't claim ""weather"" with your hardworking crew pulling seats out of a plane! Do the right thing. But we both know you won't",nan
Southwest,patpohler,0,@SouthwestAir thanks I think we've got it figured out,Quito
US Airways,BillyNealis,0,"@USAirways @AmericanAir Thank you for a couple of easy, hassle free flights today, professional and friendly staff made everything easy!",Quito
American,JMeszar,0,@AmericanAir the Late Flightst usair4603. Earlier 4591,Eastern Time (US & Canada)
US Airways,ElmiraBudMan,0,@USAirways PLANS CHANGED! IS THAT WHAT U CALL NOT BEIN ABLE 2 PARK ON TIME PLANES W A 2 HR LAYOVER N B ABLE 2 MAKE UR CONNECTION! #seriously,nan
US Airways,HurnerAndTooch,0,@USAirways My brother &amp; his family stranded in CLT tonight bc gate E36 agent wouldn't hold plane for two minutes. Now driving in bad weather,nan
Southwest,chelle_ecoed,0,@SouthwestAir Sorry! Thought I did. It's done now.,Eastern Time (US & Canada)
Delta,BKWIL,0,@JetBlue three hours on s delayed flight staring a blank screen. At least a heads up so you could download a movie,Eastern Time (US & Canada)
Southwest,laura_ying,0,@SouthwestAir finally got through. Thanks!,nan
Southwest,shayhooke,1,@SouthwestAir iPhone App Adds Passbook Support #Airlines #Travel http://t.co/lJzDTHD9Bv,Pacific Time (US & Canada)
Southwest,susanpaint,0,@SouthwestAir I need to request a refund on my flight that was Cancelled Flightled this morning due to the weather.,nan
United,Madisonnnicole3,0,@united round trip*,nan
United,jasonramer,0,@united You guys are atrocious.  Far better service as silver on Delta than you as a platinum.  I'll be switching back to delta.,nan
Delta,tahlia_simpson,0,@JetBlue ive tried on my phone and laptop :(,nan
American,stvnoneal,0,"@americanair Greatest Newark Gate Agents ever: David Deane, Norma Sedholm and Luz Calderon just made me feel like a king. #AmericanAirlines",Eastern Time (US & Canada)
