Date,Hit Sentence,Country,Reach,Twitter Authority,Twitter Screen Name,Twitter Followers,Twitter Following,State
05-Mar-2022 07:29PM,RT @PaulMer53: RED FRIDAY 1 🇬🇧🇺🇸 @EarthsGhost @DMcDMuffin @Doot2471 @Bree1914 @CMY1952 @PaulMer53 @DiabloKatDesign @JoanneLuvsGod @JopublicBrexit @times3stillpat @Fiona82211734 @anywherebuttn @Lin59898485 @newhandle17 @Erica7016 @Zegdie @karrst @liztred @w1mav @jAlmz5 @Caduceus_ @MSmith_1_E_R https://t.co/zzr1zA01k0,Cameroon,4746,7.0,"Q Mac: Donald & Boris, All Vets",4746.0,5015.0,South
07-Feb-2022 07:39AM,"QT @MarijnissenL: In June, the EU are on course to announce plans for taxation at European level. As far as I’m aware the SP supports EU membership & “Ever Closer Union” so they’ll go along with it. The EU & ECB will bankrupt Europe, the sooner NL leaves, the less painful it will be. #Nexit ; Slecht idee. Onder Rutte 2 zijn tienduizenden zorgverleners ontslagen. Het huidige kabinet Rutte trekt geen cent extra uit voor betere waardering van zorgpersoneel. De werkdruk en bureaucratie worden niet aangepakt. Doe dat eerst!",Unknown,861,5.0,SicSemperTyrannis,861.0,967.0,nan
12-Mar-2022 05:17PM,"RT @mrjamesob: QT @lionelbarber: Imagine having to explain to your children why you chose Farage, Dorries, Johnson & Rees-Mogg over being an integral part of this. ; One incontestable fact: Putin’s war has reinvigorated the EU ! https://t.co/a2UeZexZWm",United Kingdom,5738,7.0,sunny jay jay esq.,5738.0,5141.0,England
22-Mar-2022 09:19PM,RT @brexit_sham: @YvetteCooperMP The monsteous @Conservatives have voted against the UN @Refugees 1951 Refugee Convention. Time and again they shame this nation. https://t.co/0qpJc8LRAB https://t.co/kO2Tk7RfP8,United States,546,5.0,Graham,546.0,650.0,Massachusetts
27-Feb-2022 10:20AM,"RT @Mexico1978R: QT @havingagiraf: https://t.co/zuLswEGgDr ; @BBCBreaking #ScumMedia why no mention of why only some banks, is it because you would have to explain it's so the EU can still send billions to Russia for gas and keep funding the war.",United Kingdom,6721,7.0,Mark my Words.,6721.0,7390.0,nan
30-Jan-2022 01:09PM,RT @LizGibbons15: So every penny raised from NI is going in NHS says Johnson and Sunak! Isn’t that why we we came out of EU so £350m could go into it? 🤔,Unknown,3367,7.0,Darkalley 💙,3367.0,4366.0,nan
29-Jan-2022 11:33PM,"RT @NeilMullens: Dover Insider: ‘95% of Problems Caused by Brexit’ A customs clearance manager explains why lorries are piling up around the port, and the mood among those working on the frontline @WritesBright @BylineTimes @BylineTV #BrexitHasFailed #ToryBrexitDisaster https://t.co/HwAeU33jh7",United Kingdom,5378,7.0,💙ewa 🇪🇺 #FBPE #FBPA #FBPPR 🕷 #RejoinEU,5378.0,5900.0,England
29-Mar-2022 11:00AM,@MatthewStadlen If we’d have had a true brexiteer PM leading us Britain would have been flying high by now. Instead we have a globalist corporate communist who takes his orders from the WEF to do list.,United Kingdom,3775,7.0,Lynda The UK has left the EU,3775.0,3531.0,England
02-Mar-2022 05:47PM,"RT @MiaQueef: If the UK gov truly wanted to show solidarity with Ukraine we would #RejoinEU. No amount of missiles, troop training, sanctions or refugees, can hide the fact that only by respecting the democratic superiority of the EU can Ukraine be protected. Boris must be tried for war crimes",United Kingdom,302,5.0,Maccaa,302.0,359.0,England
02-Mar-2022 07:57AM,RT @DanielaNadj: Had a chat with my Danish friend just now. We both agreed that this war has shown Europe stronger and more united than ever. Any European nation should want to be part of the EU.,Unknown,5230,7.0,Terence Phayre Knott MC,5230.0,5733.0,nan
04-Jan-2022 10:28PM,"RT @nickreeves9876: The 2016 referendum was rigged to exclude three of the most affected groups - 16-17 years, EU27 citizens & Brits abroad for 15+ years, even while Commonwealth citizens could vote. I accept Brexit as I would my home having been burgled. Brexit is a crime. Please RT if you agree.",United Kingdom,65,3.0,"Art Sake ,🎨🇪🇺🏴󠁧󠁢󠁳󠁣󠁴󠁿🇮🇪🇳🇱🖌️ Wildcard",65.0,221.0,England
09-Mar-2022 08:29AM,@DBCoope74809261 @GBullstein Do you mean the stress of trying in all the means in his power to unsuccessfully block Brexit?!,Unknown,1553,6.0,Saving Boris,1553.0,1394.0,nan
01-Jan-2022 04:21PM,RT @brexitblog_info: Arise Sir Tony Blair. The man who left the economy in ruins & flogged our gold saddled us with the disastrous Human Rights Act let IRA killers go free enabled mass uncontrolled immigration created the failed system of devolution & mayors made millions into welfare junkies,United Kingdom,1313,6.0,Mckenzie Warren #British and proud 🇬🇧👍,1313.0,2163.0,England
01-Mar-2022 10:57PM,"QT @christhemusic: We Ukrainians wish that every European leader did what Prime Minister Johnson has been doing; we knew Germany would sabotage, France vacillate, Italy take its time to decide, but Britain, Poland, Baltics would lead. Britain outperformed, as it always does. @BorisJohnson https://t.co/5sEOw5i2OV ; To those on here talking down the PM and the Foreign Secretary right now: If we had a Labour Government, I wouldn’t be leaving snide comments on their posts. I’d be standing firm with them to show Putin what a united nation looks like. So a word of advice: Shut it, and save it.",Cameroon,4594,7.0,"Q Mac: Donald & Boris, All Vets",4594.0,4841.0,South
17-Feb-2022 07:54AM,"RT @talkRADIO: UK voters did not understand what they were voting for when they backed Brexit in 2016, the European Parliament has said. Did you know what you voted for?",Unknown,1489,6.0,debsy,1489.0,3202.0,nan
27-Jan-2022 11:57AM,RT @ToryBrexitForMe: QT @BILDERBERG_GP: Article 16 Please. @trussliz ; @trussliz @eastantrimmp Liz...remember this? Many a Brexiteers will only too well. It exposes in all its vile starkness the heart of the Brussels machine. It doesn't even know how to negotiate with any decency or honesty. That's why they'll string the N.I protocol out forever.,Unknown,19291,8.0,Peter Jeffries #IsleofWight,19291.0,19368.0,nan
04-Jan-2022 04:09PM,"RT @guyverhofstadt: One year Brexit… Red tape is up, trade is down, opportunities for 🇬🇧 & 🇪🇺 young people reduced. No plan to exploit the benefits… as there aren't any. A nation duped by a few politicians who will never face the consequences of their lies ! https://t.co/ze9ly3eV6n",Unknown,76,3.0,Gary,76.0,173.0,nan
16-Feb-2022 12:25AM,"RT @DanielaNadj: Great Britain, it's time to arrive in the 21st Century. That means three things: 1) Get rid of the Royal Family 2) Rejoin the EU and 3) please, please change your electoral system.",Unknown,2107,6.0,BMH - 3.5%,2107.0,5001.0,nan
03-Jan-2022 04:50PM,"RT @montie: QT @samgadjones: The FT never misses an opportunity to knock Britain. ; I know we’re all supposed to be accepting about Brexit now, but for those of us who regularly travel and have lives beyond the narrow confines of decaying Britain, it is still a manifestly cretinous event. https://t.co/9q3aWLbLsO",United Kingdom,18176,8.0,Thomas Evans ♿,18176.0,17409.0,England
22-Feb-2022 05:17PM,"RT @kercle: If you voted for Brexit surely now you see your fatal error. Banks, Farage, Daubney they're all in cahoots with Russia, you were played!",Canada,511,5.0,Stockpiling Scabiosa 💙,511.0,708.0,Ontario
31-Mar-2022 06:20PM,"RT @AnnieCshandbag: Refugees from the middle east have plenty of middle eastern countries to seek asylum in, they've no business coming to Europe. They're not compatible @gbnews",Unknown,8416,7.0,SIR mexico1978RS 🇬🇧 🇮🇱👍,8416.0,8590.0,nan
13-Jan-2022 01:15PM,@Kels__Tweets @trussliz Subservient EU negotiator 👊,Unknown,478,5.0,Peter Stelfox Esq.,478.0,172.0,nan
20-Jan-2022 04:46PM,RT @vanmaneuro: For anyone using the sixfold app-it is pretty accurate . Look at the waiting times in the European Union. There aren’t any V the waiting times getting to folkestone and Dover . CU&SM V 3rd country entry into EU . Was always going to happen !,Unknown,50,3.0,Mark Lawrence,50.0,39.0,nan
08-Feb-2022 03:10PM,RT @Kilsally: The Northern Ireland Protocol is therefore doing the very opposite of what the EU intended it to do. Northern Ireland has been destabilised and the Good Friday Agreement undermined. - spiked https://t.co/MhtX3fC0YF,Unknown,4364,7.0,sylvia moulds,4364.0,3501.0,nan
24-Mar-2022 04:14PM,"RT @ArgyleLoz: Why are Brexiters and vote leave ministers angry at Johnson not being invited to the EU-US summit? Actions have consequences, we are no longer members of the EU, despite Johnson's 'world beating' bullshit we're a third rate irrelevance. Good to see Global Britain going so well..",United Kingdom,1654,6.0,Mark Taylor 💙 #FBNHS 😷 🏴󠁧󠁢󠁥󠁮󠁧󠁿🇪🇺 🐋🐝,1654.0,1732.0,England
08-Jan-2022 09:24AM,RT @johnredwood: The Foreign Secretary needs to stand up to the EU over Northern Ireland and their diversion of trade. Restore the free flow of goods from GB that are staying within the U.K. There are ways of the U.K. doing this that are legal under any sensible reading of the Protocol.,United Kingdom,4550,7.0,Free at Last,4550.0,5003.0,England
20-Mar-2022 02:58AM,@donaldtuskEPP EU clowns 🤡,United Kingdom,368,4.0,Graham Smith 🇬🇧,368.0,357.0,England
17-Mar-2022 07:41PM,"RT @AskMarj: QT @AlastairMorgan: I’m still very angry about the people who denied, and continue to deny, the outcome of a democratic vote. We each had one vote, that’s all there is to it! ; As an EU citizen I felt I was part of a wider world. I'm still very angry, six years later, that this was taken away from me. #RejoinEU",United Kingdom,14003,8.0,Simon Fox,14003.0,13630.0,England
02-Feb-2022 09:26PM,"QT @NicholasTyrone: #JohnsonOut9 ; Finally read all 106 pages of the government's Brexit benefits policy paper. It's filled with things we could have done while still in the EU, stuff this government can't or won't really do, and things that are actively harmful to the country. Is this all there is to Brexit?",United Kingdom,929,5.0,Charlie #FBPE,929.0,2284.0,England
01-Feb-2022 09:44PM,RT @Fern_Britton: So @BorisJohnson lied about parties when the rest of us obeyed rules. To some this is forgivable. He has been dealing with Brexit/covid/new baby etc. ‘Sorry’ he read with his head down. Now he is in Ukraine. He will project himself as a statesman. But he isn’t. He is a liar,Unknown,155,4.0,Mark Lewis 🇪🇺,155.0,781.0,nan
04-Jan-2022 12:57PM,QT @GBNEWS: Brexitman 🏴󠁧󠁢󠁷󠁬󠁳󠁿🇬🇧 He always was a fukin idiot ! ; Prince Charles warns the world is 'on the brink' of environmental catastrophe https://t.co/CbytgDEyRJ,United Kingdom,2286,6.0,Mike Jones,2286.0,4921.0,Wales
12-Mar-2022 10:36AM,RT @RhonddaBryant: The EU has sanctioned Andrei Melnichenko and Italy has seized his yacht. He was one of the oligarchs summoned recently by Putin. @trussliz guaranteed £50.94 million of credit for Melnichenko's company Suek and has failed to sanction him. Why?,France,282,5.0,Chez Mimi 💙#freeNazanin,282.0,264.0,Auvergne-Rhône-Alpes
20-Jan-2022 06:41PM,"RT @clarescastle: Heseltine revealing the agenda. Extraordinary. Threatens violence if #Brexit not reversed, which he demands it should be if Boris goes. Breathtaking stuff. Naked. @TimesRadio",United Kingdom,1796,6.0,Mr Grumpy.,1796.0,2182.0,nan
21-Feb-2022 12:11PM,RT @carryonkeith: We've had to live with Brexit. And now we're going to have to live with COVID. But do we really have to live with Johnson?,United Kingdom,5118,7.0,Gytha Ogg 🕯3.5% 🐟 #dogooder 🤗 #notmypm🎪🕷,5118.0,5235.0,England
25-Feb-2022 03:14PM,"@Bonn1eGreer @Conservatives Johnson is just a “useful idiot”. Not in the sympathetic Marxist way others were, but in his willingness to break up European institutions.",Zimbabwe,22,2.0,Martin Hansen,22.0,42.0,Midlands
20-Jan-2022 11:47AM,"RT @DavidHenigUK: Other countries have long since overtaken us on vaccines, performed more strongly economically since March 2020, and done so with a lower death rate. Ones that were inside the EU. Boast of mediocrity and learn nothing, that's evidently the Johnson way. ; We were the first nation in the world to administer a vaccine, and one of the fastest in Europe to roll it out. This was because we made the big call to pursue our own vaccine procurement, outside of the EMA. 1/5",Germany,231,4.0,Ron Yard #FBPE #RejoinEU,231.0,978.0,Bavaria
04-Mar-2022 01:23PM,"@yucca7 @LBC @mrjamesob Lol keep trying, it's good watching your denial, cause your loss. I'll guess when The Brexit Party fielded ethnic minority candidates, you looked pretty useless in your propaganda that remoaner racist cat calls had failed. Keep crying into your spilt milk, loser!",Unknown,260,4.0,Albert Steptoe,260.0,393.0,nan
13-Jan-2022 07:41PM,So it looks like maybe it was remain (not leave) taking money during the Brexit vote.... who knew? Remoaners... looks like you were fooled.,Netherlands,12005,8.0,Busy Eating Crayons 🏴󠁧󠁢󠁷󠁬󠁳󠁿,12005.0,12087.0,nan
13-Jan-2022 10:07PM,"RT @ASK_des: #GinaMiller 13 turned up for Launch Gina Miller’s True & Fair Party. Surprised that many turned up. Gina Miller done everything she could to stop Brexit for years. The great British public don’t like to be lectured by people like you. 17,410,742 people voted for Brexit. 👍 https://t.co/713RyHKybb",United Kingdom,2049,6.0,janice bell,2049.0,2298.0,England
12-Feb-2022 07:06PM,RT @BrexitBassist: Here's a tip. Install a English non woke non lefty born in London real Londoner as police commissioner with an understanding of how London was before it went downhill. Then you'll see London improve.,Unknown,689,5.0,Klammie,689.0,967.0,nan
31-Jan-2022 10:38PM,"RT @IanCharlesUK: QT @MartinDaubney: This is what ‘Partygate’ and ‘CakeGate’ is all about👇 ; This was the scene two years ago today, midnight at Parliament Square on Jan 31st 2020, as Britain finally left the EU Never forget that the BBC, Sky News & the whole lot of them downplayed the size of this historic moment #IndependenceDay #Brexit 👏🏻🇬🇧 https://t.co/wOBHPwuEcB",United Kingdom,701,5.0,Wendy🇬🇧,701.0,739.0,England
21-Mar-2022 12:59PM,RT @TaximanLondon: @PoliticsPollss @CazHcatgirl Has Donald Tusk apologised for his comment saying that there is a special place in Hell for Brexit voters?,Unknown,2258,6.0,Andrew Coakley,2258.0,4862.0,nan
10-Mar-2022 07:35PM,RT @80_mcswan: An independent Scotland will be a successful small European nation RT if you agree,United Kingdom,2457,6.0,Maria mitchell 😷😷😷😷😷💙,2457.0,2707.0,England
11-Mar-2022 05:47AM,RT @PaulEmbery: QT @RhonddaBryant: That works out to six individuals per EU member state. https://t.co/Vi5GzIMmIT ; The EU yesterday sanctioned a further 160 individuals. The UK has just managed 7 today.,United Kingdom,1454,6.0,Diane 🇺🇦,1454.0,852.0,England
18-Jan-2022 02:55PM,"@Rob__Friar @SpanishDan1 Really....not sure that's quite true is is Boris??? Zero hours contracts, many, many companies going bust due to Brexit...",United Kingdom,136,4.0,Jane Hay,136.0,84.0,nan
01-Feb-2022 12:27PM,RT @Annaisaac: I never thought today would be the day I remind folk of this: Freeports were entirely possible within the EU. That's not a pro or anti Brexit statement. It's simply a fact.,Iceland,14613,8.0,FrogyUK🌳🐾💚🇪🇺💙😷,14613.0,13078.0,nan
29-Jan-2022 11:45AM,@BrexitDuck Masks at any time in any setting were ridiculous.,United Kingdom,381,5.0,rynnster,381.0,410.0,Scotland
26-Feb-2022 08:40PM,RT @Rabberoonies: @ron611087 Best thing we ever did - take a look at the eu - hopeless,Unknown,4906,7.0,Susan Hurst,4906.0,5277.0,nan
03-Mar-2022 10:03PM,RT @lathamphil1: Is anyone else seriously bored with with this.... If only we were still in the EU nonsence🙄🤯 If they love the EU so much they should all jump on the first plane and move to Brussels!. I stand 100% behind my Brexit vote to leave the EU.,United Kingdom,21136,8.0,𝕍𝕠𝕚𝕔𝕖𝕆𝕗𝕋𝕙𝕖𝔽𝕠𝕣𝕘𝕠𝕥𝕥𝕖𝕟,21136.0,21201.0,Scotland
13-Feb-2022 07:57PM,RT @denpapwp123: This man spent 3 years trying to reverse Brexit. Do you really think he’s changed ? ; #BackBoris or this 👇 https://t.co/28hqtSw4pW,Unknown,1155,6.0,Nigel Evans #Reform UK #FTEU,1155.0,1173.0,nan
20-Mar-2022 06:58PM,RT @robertsessford1: So the Russians are now deporting Ukrainians to far flung parts of Russia where they are expected to work for free for the next three years. When are the EU going to stop sending them $600 million a day,Unknown,3594,7.0,#WokeIsExtremism. 🏴󠁧󠁢󠁳󠁣󠁴󠁿 in 🇬🇧,3594.0,5000.0,nan
04-Mar-2022 08:07PM,RT @RichardKear: @CarlosTF50 Tell me - how many of the 27 put in more money than they take out? Less than 50%. Now tell me how many of those who wish to join will contribute more than they put in? 0% Surely you can see this business model cannot be sustainable in the long term? This is why the EU will fail.,Unknown,392,5.0,F00tsie,392.0,667.0,nan
02-Feb-2022 06:50AM,"RT @Mathew94379832: @Saramac7 Team behind AZ was Prof Gilbert, early leadership Kate Bingham - who accelerate some months, but EU has long out-paced UK. NHS did the roll-out. No Johnson. Abit pointless when he let it rip mere months before the vaccine rollout - killing 10s of 1000s more unnecessarily... https://t.co/5p8mj2DyAi",United States,587,5.0,Blockhead1011_NHS💙 Rejoin EU 🇩🇰 Cat Friend🐈,587.0,938.0,Illinois
18-Mar-2022 07:25AM,@ssocialdrummer And time you stopped this ridiculous blaming everything negative on Brexit. I don’t think there is one person who thinks this is an acceptable situation even in government,Unknown,1255,6.0,Ottosmummy,1255.0,1033.0,nan
06-Feb-2022 04:37PM,The polls have been lousy for them for getting on for two months. The cost of living issue doesn’t seem likely to go away. Brexiteers seem in another panic that their cherished project is threatened while constantly telling us it’s wonderful & claiming Johnson got it done.,Unknown,732,5.0,Finn Pollard,732.0,940.0,nan
05-Mar-2022 12:44PM,"RT @uk_sf_writer: So much for those Remainers/Rejoiners who argued that the EU had guaranteed peace in Europe for two generations (especially as it was the rather different, and less objectionable EEC until 1992). It has done nothing to protect Ukraine. https://t.co/XXAYTpJiGk",Switzerland,1077,6.0,@jdupdater,1077.0,1132.0,nan
26-Feb-2022 07:11AM,"RT @uk_domain_names: I've swapped my pinned thread about Brexit for this updated one, which compiles all the key information and references in one place... https://t.co/xiP4maaEHS ; Even after we've left the EU, it's vital to have a full grasp of Brexit & its consequences. It doesn't magically become a good idea when we leave. This thread compiles essential answers. 1) Truth about Brexit, and what leaving the EU really means. https://t.co/rTnwNyGR5t",Unknown,572,5.0,Philomena Foxtrott,572.0,1734.0,nan
13-Feb-2022 05:25PM,"@AlexLepretre @garside_geoff According to the ONS 784,900 Britians living in EU countries excluding Ireland in 2018... https://t.co/MhfZT2pAyt",United Kingdom,312,4.0,Steve Bishop,312.0,726.0,England
16-Feb-2022 03:40PM,"@SteveBakerHW @PennyMordaunt No dear, it’s begging - because we’ve lost our place in the world thanks to the petty minded short term inward looking Brexit you championed",Unknown,6847,7.0,Brexit Turmoil 🎀Do Gooder GirlySwot Esq🕷,6847.0,7467.0,nan
08-Jan-2022 08:57PM,"RT @GoodwinDominic: What does #Brexit mean 5 years after the vote? Brexit means red tape, isolation, lost exports, reduced investment, lower GDP, disrupted lives, inflation, reduced opportunities, populism, lost freedoms, economic decline and an abrupt end to British influence on the world stage.",Unknown,466,5.0,NoMorePlease,466.0,300.0,nan
06-Feb-2022 05:02PM,QT @s_bentall: 17% is larger than 11% = deal with it & move on. https://t.co/jggTlXMxJN ; @EricCir62379716 You're hilarious. You just literally proved that EU exporting has hardly been damaged by Brexit whereas the UK's has. You were just too dumb to know what you tweeted! Remainers are not moving on but leavers are giving up. Of course we'll rejoin.,Unknown,435,5.0,EricCire!,435.0,,nan
28-Feb-2022 12:50PM,@pastoralview They are asking the EU to fast track them in.,United Kingdom,22204,8.0,Lady Rebecca 💃🍸 🇬🇧 • #BackBoris • 🇬🇧,22204.0,9063.0,nan
02-Jan-2022 12:28PM,"RT @MaryRiddell: Boris Johnson starts 2022 trailing Labour by 16 points in key Red Wall seats. More proof that voters prize integrity far above the flashy stunts of a washed-up showman who has failed on Covid, Brexit and all else. We are now staring at the smoking ruins of a premiership",United Kingdom,511,5.0,Keith Langham,511.0,999.0,England
09-Mar-2022 09:23AM,"RT @thatfoxxybloke: The US 🇺🇸 stops all imports of Russian Gas and Oil, immediately. The UK 🇬🇧 by the end of the year. The EU 🇪🇺………by 2030.",Unknown,2580,6.0,Ian C #BackBoris 🇬🇧🇿🇼🇮🇱🏳️‍🌈,2580.0,2879.0,nan
31-Jan-2022 09:38AM,"RT @davidschneider: ▪️4% hit to GDP ▪️Fishing, farming, exporters screwed ▪️£12bn trade lost in a single month ▪️Lorry drivers queuing for days ▪️Medicines unavailable ▪️Empty supermarket shelves ▪️NI peace threatened ▪️Food rotting on farms ▪️Actual shit in rivers Happy 2nd anniversary of Brexit🎉",Unknown,2098,6.0,Adam Goldman #FBPE #FBPA #FBPPR 💙,2098.0,1849.0,nan
06-Jan-2022 02:32PM,"RT @13sarahmurphy: You can wrap yourself in🏴󠁧󠁢󠁥󠁮󠁧󠁿🇬🇧flags, sing the national anthem 5 times a day, have pictures of the queen in every room, use crown stamped pint glasses and Brexit tea towels… but real patriotism comes from being a country people admire, not one misgoverned by nationalistic bellends.",Unknown,1859,6.0,Janet O'Malley#FBPE#StrongerTogether2020,1859.0,2064.0,nan
31-Mar-2022 10:11AM,"QT @RachSalv: This is why there's regulations on selling seafood to the EU. Without purification plants in UK, its just shit-filled seafood - which EU doesnt want to buy, thanks. Bleurgh. #GreatShitain #Brexit ; BREAKING: Water companies say they dumped raw sewage into rivers/coasts 372,533 times last year. For 2,667,452 hours. But this is just the tip of the shitberg. Masses of 'spills' unreported, not all outfalls monitored, and a spill that lasts for weeks will be counted as just one.",Ireland,554,5.0,CB Bean Uí Fhoghlú 🦋,554.0,669.0,nan
15-Jan-2022 08:20AM,RT @Life_Disrupted: I'm still trying to understand why mountains of red tape for trade with the EU in both directions was preferred over frictionless trade.,United Kingdom,2170,6.0,Jenny,2170.0,2088.0,England
16-Feb-2022 03:20PM,RT @Femi_Sorry: QT @JeremyVineOn5: My problem is NOT that Starmer isn't supporting Rejoin. My problem is he's abandoning those being hurt by Brexit. My problem is him spreading the lie that Brexit can be good. My problem is his Make Brexit Work quotes will be used to damage the trust in a future electoral pact. ; Brexit can't work long term... he's making a political calculation Is Keir Starmer right to rule out rejoining the EU? @Femi_Sorry says the Labour leader is wrong to just say the UK should focus on the advantages of Brexit. @CarverEmily | @ClaudiaLizaTV | #JeremyVine https://t.co/UPxWF2crSP,Unknown,4495,7.0,edinnews #FBPE #FBSI #FBPA 3.5% #Reform #Rejoin,4495.0,4957.0,nan
20-Mar-2022 08:06AM,"RT @DavidGauke: QT @BenQuinn75: You can be a statesman at a time of crisis or you can be a cheap Brexit partisan. You can’t be both. ; Boris Johnson compares Ukraine's fight for freedom to the British people voting for Brexit 'in large numbers' : it was because they wanted to be free to do things differently, for this country to be able to do things differently and run itself",United Kingdom,134,4.0,mo,134.0,170.0,nan
13-Mar-2022 02:53AM,"RT @theAliceRoberts: We have entered an energy war that will last until the end of the carbon age... By choosing hard Brexit, Johnson deliberately walked away from 70 years of British leadership in Europe. Who benefited? Ultimately, Vladimir Putin. @paulmasonnews https://t.co/BC0hhapll3",Thailand,2391,6.0,Roger Horvath,2391.0,5000.0,Phetchaburi
18-Mar-2022 09:43PM,"RT @BrexitBuster: What are the chances that virulently anti-refugee Tory MP for Dover Natalie Elphicke will make a donation to a Ukrainian refugee charity from the £25,000 she pocketed after selling the sordid story of her convicted sex offender husband Charlie to The Scum. Not holding my breath. https://t.co/Y0oYQZgTVc",Unknown,5972,7.0,Laura Phelan,5972.0,6131.0,nan
04-Jan-2022 08:53AM,RT @nicktolhurst: I sometimes wonder how many Brexiter MPs are quietly urging Boris Johnson to “hold his nerve” on Brexit because “Trump might get back in power in less than 3 years and then the post war western liberal democratic model is over anyway”.,United Kingdom,1553,5.0,Rupak Basu 🇪🇺🇬🇧 #FBPE #FBPA #FBPPR #RejoinEU,1553.0,2620.0,England
02-Jan-2022 08:26PM,"RT @nw_nicholas: When we leave the EU we'll be able set our own energy prices. So, we'll triple them.",United Kingdom,591,5.0,John Halsall,591.0,4875.0,England
