Timestamp,Embedded_text,Comments,Likes,Retweets,UserScreenName
2022-02-21T21:03:00.000Z,".
@exxonmobil
 is suing multiple California cities in the Texas Supreme Court alleging a coordinated litigation effort against oil and gas companies calling for billions of dollars for ""climate change mitigation"" projects.
thetexan.news
Texas Oil Company and California Cities Face Off in Climate Change Spat Before the State Supreme...
A Texas-based company is suing California municipalities in the Texas Supreme Court over litigation efforts filed in other states.
1
6
11",1,6,11,The Texan
2022-05-25T21:14:39.000Z,"Replying to 
@jn_pickles
 @davidhogg111
 and 
@LaneZane1
@davidhogg111
 They mocked you guys for protesting wealth disparity, gun violence, climate change and unfair policing tactics. Remind your friends and contemporaries of this as they head for the polls.
6
20",nan,6,20,MarkusEnoFan...Faking Eiger Mountain By Tragedy
2022-03-12T23:40:48.000Z,"Climate change will transform agriculture ... but smart choices and changes can ensure that the transformation isn't necessarily for the worse. https://bloomberg.com/opinion/articles/2022-03-12/climate-change-and-food-warming-doesn-t-have-to-spell-doom-for-farming… a q&a btw me and 
@DukesJeff
 for 
@bopinion
bloomberg.com
Climate Change Doesn’t Have to Spell Doom for Farms and Food
A Q&A with Jeffrey Dukes, a Purdue University ecologist, on the impact of global warming on agriculture and the best ways for societies to manage it.
1
9
12",1,9,12,Adam Minter
2022-04-20T23:53:05.000Z,"How did corporate climate denialists succeed in slowing the response to climate change, when cigarette companies that used the same playbook were beaten and punished? Journalist Eugene Linden explains on the new Factually: Listen! http://listen.earwolf.com/factually
5
44
147",5,44,147,Adam Conover
2022-07-08T23:11:49.000Z,"Every day billions of people depend on wild flora and fauna to obtain food, medicine and energy. But a new U.N.-backed report says that overexploitation, climate change, pollution and deforestation are pushing one million species towards extinction.
courthousenews.com
Wild species relied on by billions at risk, report warns
Beyond the gloomy picture, the report also provides recommendations for policymakers and examples for the sustainable use of wild fauna and flora.
9
7",nan,9,7,Courthouse News
2022-06-15T22:15:36.000Z,"Unless you are a fish expert, I'm going to bet you have never heard of the humpback chub. In this all-formats package, 
@AP
 colleague 
@BrittanyKPeters
 lays out why this fish is important and how climate change puts it (and other species) at risk.
apnews.com
Biologists try to save ancient fish as Colorado River fades
PAGE, Ariz. (AP) — Barrett Friesen steers a motorboat toward the shore of Lake Powell, with the Glen Canyon Dam towering overhead. Pale “bathtub rings” line the canyon’s rocky face, starkly illustr...
4
3",nan,4,3,Peter Prengaman
2022-05-23T23:16:47.000Z,"'Where do young people get their false ideas about the world from?', wonders a guy at one of the biggest media corporations in the world, which has abolished debate from its output and has assumed the function of 'informing' the public about climate change.
1
3
14",1,3,14,Ben Pile
2022-04-07T23:18:45.000Z,"The Climate Change Adaptations Symposium is on today, where we will provoke thought, stimulate debate and lay the groundwork for productive collaborations. Thanks to 
@RebeccaVassarot
 for introducing the day! #CCAS #climatechange 
@UCSciTech
 @biodivaCBA
 @UniCanberra
6
11",nan,6,11,IAE
2022-07-16T13:27:05.000Z,"7- Conclusion: I personally think the speech should be received favorably by shale & oil sands producers. 
Environmentalists should be pleased that MBS  dedicated a good part of the speech to climate change.
Those who want to impose their social values on others have been warned.
34
92
627",34,92,627,Anas Alhajji
2022-02-09T22:53:36.000Z,"Canada just published a 768pg report on the health impacts of climate change for  #ChangingClimate 

My hot take (pun) on what it means for #CdnPoli and #Adaptation 
1
4
10",1,4,10,Dylan Clark
2022-06-14T23:45:17.000Z,"The “climate change is our biggest problem” crowd is so out of touch it is ridiculous. There are so many people who currently don’t know where their next meal is coming from/ how they will pay their bills. They don’t need to hear about EV and how they’re destroying the future
3
2
16",3,2,16,Mak
2022-05-13T23:59:06.000Z,"From 
@David_Moscrop
: When will Canada’s Conservatives take climate change seriously?
washingtonpost.com
Opinion | When will Canada’s Conservatives take climate change seriously?
And when will Canada's Liberals take it seriously enough?
3
10
14",3,10,14,Washington Post Opinions
2022-02-24T23:42:24.000Z,"Is it only me or do others believe the only nations on the ascendancy are those that don’t pray at the alter of climate change #auspol
2
9
29",2,9,29,Sid Dowling
2022-05-01T21:55:41.000Z,"His 'philanthropy' started with his father in law needing something to do, and Bill giving him money to try to manage. Not Bill needing to do good with his fortune.

It has, ever since, had a chilling effect on any action that might fight things like climate change, or disease.
1
4
59",1,4,59,Nome
2022-07-16T12:39:40.000Z,"U.S. cannot fulfill climate change pledges if Manchin won't vote for clean energy, experts say https://aol.com/news/u-cannot-fulfill-climate-change-184521943.html?soc_src=social-sh&soc_trk=tw&tsrc=twtr… #NotRichEnoughManchin 
@KelliSmith15
 @Ireland0828
 @veterans_i
 @KgKathryn
 @pannlewis44
 @KingIvan
 @asoldiersvoice
 @Robin_Volpi
 @RK1960
 @DaOGTriple
 @Magic367g
aol.com
U.S. cannot fulfill climate change pledges if Manchin won't vote for clean energy, experts say
If Sen. Joe Manchin, D-W.Va., will not vote for a budget reconciliation bill that includes the measures to reduce climate change in the version passed by the House of Representatives last year — as...
6
16
8",6,16,8,Bertha Reddick
2022-05-23T23:26:37.000Z,"Billie Eilish, Lizzo, Shawn Mendes, and more celebrities are teaming up with 
@GlblCtzn
 to end poverty — and by extension, fight climate change. 
@Dometi_
 has what you #NeedtoKnow how world hunger and the climate crisis are linked
3:27
2,277 views
1
19
48",1,19,48,MTV NEWS
2022-04-23T22:15:01.000Z,"This bugs us. Insects are becoming less abundant and diverse - and a new study linked the decline to climate change. It’s a buzzworthy finding because “If you remove the insects from the planet, basically life as we know it would grind to a halt…”
nbcnews.com
Climate change linked to fewer bugs, study finds
The research builds on a body of work that has some scientists ringing alarms about the pace of the decline of insect populations.
2
23
33",2,23,33,EDF
2022-03-07T23:19:20.000Z,"And gun rights and climate change and BLM…
breitbart.com
Former Trump Official Accuses Crenshaw of Being Two-Faced on Iran Deal
Cliff Sims went after establishment Republican Rep. Dan Crenshaw (R-TX) over the weekend, accusing him of being two-faced on the Iran deal.
2
8
22",2,8,22,Kenny Webster
2022-06-16T22:12:31.000Z,"Replying to 
@SenMikeLee
How about climate change there Mike? Check out the water levels in the salt lake or the heat index today. Burning up.
1
3
12",1,3,12,Whtmtns
2022-07-12T00:45:16.000Z,"Climate change breaks plant immune systems. Can they be rebooted? https://grist.org/climate/climate-change-breaks-plant-immune-systems-can-they-be-rebooted/… #HealEarth  
#Biodiversity
#ClimateJustice
#ClimateActionNow
#EarthWins
grist.org
Climate change breaks plant immune systems. Can they be rebooted?
When temperatures rise, plants mysteriously lose their ability to defend against invading pathogens — but there may be a fix.
2
1",nan,2,1,TheGretaEffect-EarthWins
2022-07-16T23:48:29.000Z,"Indulging the Coalition’s political strategies/interests over climate change flies in the face of reality.
We don’t need to normalise their position by discussing it in terms of legitimate strategy.
#insiders
29
215
1,091",29,215,"1,091",The Cathy Wilcox
2022-04-27T23:32:36.000Z,"Replying to 
@EvanMcMullin
I voted for you Evan. Please don't let me down and all the other Dem delegates that voted for you.

I know we aren't going to agree on a lot of issues but based on our conversation, we agree on two big ones:

Climate Change
Fair Redistricting Maps

Lee has got to go!!!
2
4
43",2,4,43,Millsy
2022-06-30T23:51:59.000Z,"Overturning Roe, rewriting both the First and Second Amendments, and strangling government’s ability to combat climate change, all in one week, is basically the Court saying to Congress, “Get out of the way, we are in charge of the country now”. 

Just a stunning turn of events.
2,083
8,951
36.5K","2,083","8,951",36.5K,Chris Murphy
2022-03-05T23:36:05.000Z,"You clown, switching to renewable energy sources like solar, wind and nuclear power would both stop climate change and starve the beast that is Putin. Your refusal to put even the slightest dent in this country's addiction to oil helped fund Putin's military.
Quote Tweet
Marco Rubio
@marcorubio
 · Mar 6
This is the week that proved that being dependent on a criminal like #Putin for our oil is a bigger threat to America than climate change
4
3
42",4,3,42,Kathryn Brightbill
2022-06-21T23:46:34.000Z,"Replying to 
@PeterSweden7
 and 
@noddyboots
Isn’t it obvious. The globalist cabal are trying to create a food shortage, so they can blame it on Russia and climate change. Then they can impose draconian measures to protect us all from climate change. Muppets.
1
6",nan,1,6,Baggers951
2022-03-28T23:29:00.000Z,"As the world faces multiple issues due to climate change, new approaches to solutions are needed.
•
https://channels.ft.com/en/rethink/biodiversity-loss-and-climate-change-are-two-sides-of-the-same-coin/?utm_source=FT&utm_medium=Premium_Native_Amplification…
•
#ELU #EarthLoveUnited #ClimateChange #NoPlanetB
channels.ft.com
Biodiversity loss and climate change are two sides of the same coin
7
10",nan,7,10,Earth Love United
2022-06-03T22:01:02.000Z,"As sea levels rise, this natural form of beach replenishment might be an important factor in offsetting some of the damaging effects of climate change on beaches.
@DocHarleyMD
 @UNSW
 @PlymUni
theconversation.com
‘Like 20 tip trucks pouring sand on every metre-wide strip’: how extreme storms can replenish...
As sea levels rise, this natural form of beach replenishment might be an important factor in offsetting some of the damaging effects of climate change on beaches.
4
11",nan,4,11,The Conversation
2022-06-16T22:25:34.000Z,"Replying to 
@peter69hc
 @will_deans
 and 
@curtiswoodhous8
So before making statement about climate change, you have to calculate your carbon footprint and then calculate the footprint of everyone who may read your words, to see if you can publish them? How does that work exactly genius?
8
1
135",8,1,135,Th3_Th!nker
2022-06-20T23:34:26.000Z,"7/x   Sen Caballero cites 
@AirResources
 Climate Change Scoping Plan as proof of concept & validation for the expansion of CCUS statewide.

But the draft scoping plan is highly disputed -- partly because of the over-reliance on CCUS:
latimes.com
Editorial: California needs to slash carbon pollution. Its pie-in-the-sky plan falls short
California's plan to reach net-zero emissions by 2045 shows little ambition for accelerating climate action and must be strengthened to cut more pollution faster.
1
6
8",1,6,8,CEJA Action
2022-06-18T23:57:06.000Z,"If Dutton opposed all this woke PC gender diversity Climate Change anti fossil fuel anti nuclear retiric.

He would win next election.

But will he?
18
19
119",18,19,119,mark pg
2022-05-11T21:51:34.000Z,"Replying to 
@AlexEpstein
Truth: climate change has costs. The 2016 wildfire in Fort McMurray caused $3 billion in insured damages.
How about crop failures? Water shortages? 
Fact: Climate change will be ruinous if we don't shift to a low carbon economy. 
https://bit.ly/3NczsaV
4",nan,nan,4,danmcd
2022-07-04T23:22:26.000Z,"Thinking of the thousands caught up in the flooding events in NSW. Four times in 18 months is a real kick in the teeth. Pleased to hear the Victorian Government is sending support. This is the new grim reality of climate change. Was once 1/100 years - no longer. #floods #nsw
5
15",nan,5,15,Dustin Halse
2022-06-03T23:54:15.000Z,"Dr. 
@MichaelEMann
 joins 
@Thom_Hartmann
 to discuss why Climate Change is moving faster than we thought. https://youtu.be/es2zp9ziKes #ClimateCrisis #ClimateEmergency
youtube.com
Is Climate Change Moving Faster Than We Thought? Featuring Michael...
New Study Shows the Climate is Changing Faster then Scientists Thought. If scientists predicted that climate change would end human life in one hundred years...
1
7
15",1,7,15,Francisco Taveira
2022-02-07T21:54:20.000Z,"hey news editors of the world: if your outlet covers climate change and Covid-19 as scientific fact but treats the existence of trans and non-binary people as simply a political question, you should look harder at your editorial standards :)
1
36
187",1,36,187,jael is tweeting again…
2022-03-17T23:36:45.000Z,"Per capita, Fiji is one of the largest troop contributors to #UN peacekeeping operations. Amb. 
@sprasadfj
 and I met this week to discuss the peacekeeping budget, as well as the impact of climate change on Pacific islands.
3
26
135",3,26,135,Ambassador Chris Lu
2022-03-23T21:40:36.000Z,"Lemonade CEO 
@daschreiber
 on how the Lemonade Crypto Climate Coalition is leveraging blockchain technology to help protect farmers against the effects of climate change. 
@YahooFinance
1:08
2,333 views
8
11
61",8,11,61,Lemonade
2022-05-06T22:00:01.000Z,"Climate change and gender inequalities are deeply connected in many ways. 
@UNDP
's #ClimatePromise supports 120 countries to meet the targets of the #ParisAgreement and make sure climate pledges are more #GenerationEquality focused to leave no one behind: http://bit.ly/3Kml91Z
1
8",nan,1,8,Usha Rao-Monari
2022-05-07T23:16:19.000Z,"""It's a process that really needs to occur ecologically."" NYT reports climate change is affecting our inability to reduce fuels with much needed prescribed fire #climatechange #wildfire
nytimes.com
Why Climate Change Makes It Harder to Fight Fire With Fire
Worsening wildfires in recent years have led officials to embrace planned fires to thin forests before disaster strikes. But the warming world is making it tougher to do safely.
4
2",nan,4,2,SW Fire Science Consortium
2022-03-19T21:21:00.000Z,"With 240+ mentions in the  
@IPCC_CH
 #ClimateReport, the world’s top climate scientists made clear that the transformation of global #foodsystems would be instrumental in meeting #globalgoals for human rights, equality and climate change.

 https://bit.ly/3KOnzGI

#IPCC
thehill.com
Climate change: Food systems are key to our collective survival
The world’s top climate scientists made clear that the transformation of global food systems would be instrumental in meeting climate goals.
5
4",nan,5,4,The Crawford Fund
2022-02-14T23:40:01.000Z,"Underfunding the Climate Change Bureau by $1.85M will prevent the implementation of programs, policies and staffing outside of the Clean Fuel Standard Act. Call your #NewMexico Legislators and request a fully funded NMED to protect against #climatechange https://nmlegis.gov/members
7
9",nan,7,9,New Mexico Environment Department
2022-04-14T23:14:16.000Z,"What is #LossAndDamage from climate change? It can look like communities hit by:
 Cyclones
 Droughts & heatwaves
 Sea level rise
 Desertification
 Glacial retreat
 
& much more. New 
@WRIClimate
 article answers 6 questions about loss and damage.
wri.org
What Is ""Loss and Damage"" from Climate Change? 6 Key Questions, Answered
Loss and damage will take center stage at COP27 in Egypt. Here we explore six key questions about losses and damages that result from climate change.
1
8
12",1,8,12,World Resources Inst
2022-05-28T21:30:04.000Z,"Great to get out in the Catalina Foothills to talk with #AZ06 Dems! We teamed up with 
@MorganAbrahamAZ
 today & had amazing conversations about gun control, protecting democracy and reproductive justice, and water and climate change as we're getting into 100+ degree summer days.
2
4
18",2,4,18,Kirsten Engel
2022-07-13T18:03:00.000Z,"Wildfires in Portugal, Spain, and southern France have caused hundreds to evacuate amid a heat wave authorities are linking to climate change
time.com
Spate of Wildfires Scorches Parts of Europe Amid Heat Wave
Wildfires in Portugal, Spain, and southern France cause hundreds to evacuate amid a heat wave authorities are linking to climate change
16
58
83",16,58,83,TIME
2022-03-25T22:08:00.000Z,"Big players in North Carolina's hog industry say they're fighting climate change with pig poop.

Neighbors, small farmers, and experts say the biogas ""solution"" these multi-million dollar companies are selling is a bunch of hogwash:
scalawagmagazine.org
Biogas: The hog industry’s billion gallon problem
Biogas promises less pollution, more jobs, and a renewable energy source. Residents and farmers disagree.
7
10",nan,7,10,Scalawag
2022-06-03T21:57:11.000Z,"“The enemy is also employing PSYOP in its war on climate action. It has promoted the narrative that climate-change impacts will be mild, innocuous, & easily adapted to…” 
@MichaelEMann
 Sounds like Covid & gun violence! #SummerReadingChallenge #JustReadPPL #OceansOfPossibilities
1
10
40",1,10,40,V's Genealogy #KN95AndVax
2022-05-13T23:19:28.000Z,"Here’s how a Labor Government will act on climate change  #AusVotes22
43
161
377",43,161,377,Chris Bowen
2022-05-23T23:55:20.000Z,"""How Not to Catastrophize the Climate Change Catastrophe"" | Had a great conversation with Mike Pesca (aka 
@PescaMi
) on #TheGist (
@PescaGist
):
open.spotify.com
How Not To Catastrophize The Climate Change Catastrophe
Listen to this episode from The Gist on Spotify. Climate scientist Michael Mann author of The New Climate War: The Fight to Take Back Our Planet on an environment that is simultaneously dire and...
4
16
41",4,16,41,Prof Michael E. Mann
2022-03-21T22:14:07.000Z,"#RocketManDutto deploys Howard's tried and true security fear strategy on eve of election. Distracts nation from floods, fires, climate change and Covid balls-up. Announces a thing called ""Space Command"". 
#CallTheElectionDickhead
theguardian.com
Peter Dutton says space command needed as some countries ‘see space as a territory for their taking’
Defence minister argues boundary between competition and conflict ‘increasingly blurred’ after Russia destroyed satellite leaving ‘lethal debris’
1
6
9",1,6,9,Roger Smith
2022-02-21T20:22:10.000Z,"Replying to 
@GBNEWS
Here we go, pandemics over, behavioural scientists moving on to terrorise us on climate change and to accept net 0
2
1
43",2,1,43,Neal Pinder
2022-06-20T23:35:55.000Z,"We are advocating about climate change but still pushing oil exploration...okay. No matter the fancy justifications this will never make sense to me.
3
2
30",3,2,30,Alicia Nicholls
2022-04-29T23:31:02.000Z,"I can't see it but what hate comes from the left? If anything they over love on people. They want to work on climate change. The far right and the right hates everyone, blacks, gays, cartoons, and anyone not brainwashed. Musk you are nothing more than propaganda for the right.
45
29
91",45,29,91,#BBBCrew Joyce Davis
2022-05-29T21:38:42.000Z,"The Pacific Island forum with the exception of Fiji are embracing China the worlds largest polluter, but claim Australia isn’t doing enough to help them with climate change AKA as greasing their palms. Whilst China is attempting to tie security issues to trade agreements #auspol
GIF
ALT
2
5
11",2,5,11,KateM©
2022-07-14T19:02:50.000Z,"I'm very proud to have led on this plan. Thank you everyone who talked to me for it.

Only weeks ago a report showed that Disabled people have been systemically ignored by the #ClimateChange plans: https://internationaldisabilityalliance.org/sites/default/files/drcc_status_report_english_0.pdf…

We need to be involved at every level and every stage
Quote Tweet
Disability News Service
@johnpringdns
 · Jul 14
City’s co-produced climate action plan ‘is a world first’
#Bristol #ClimateAction 
@BDEFbites 
https://disabilitynewsservice.com/citys-co-produced-climate-action-plan-is-a-world-first/…
1
12
20",1,12,20,Emma Geen
2022-04-17T20:13:36.000Z,"Why should we still care about Earth Day when climate change compels us to think about Earth every day? Enjoyed these reflections from ⁦
@RosannaXia
⁩ ⁦
@phila_lex
⁩ ⁦
@ronlin
⁩ on the ⁦
@latimes
⁩ daily podcast w/ ⁦
@GustavoArellano
⁩:
latimes.com
Podcast: Earth Day, Binge or cringe?
In a world where disasters are now an every-minute thing, is Earth Day still valuable? Our Masters of Disasters weigh in.
2
8
12",2,8,12,Sammy Roth
2022-03-29T22:25:26.000Z,"What I mean when I say ‘provide real alternatives’

Transform the Canada Infrastructure Bank, fight climate change, ensure Indigenous representation, all while promoting public ownership?

Yes please.

How to boost 
@nikiashton
 #BillC245 #NDP #GLOBEforum
linktr.ee
Support Bill C-245 | Linktree
Want to support Niki Ashton's Private Members' Bill (C-245)? Take action here ↓
1
20
38",1,20,38,Jessa
2022-02-27T22:45:54.000Z,"When your government actively fund climate change through $10.3 billion of subsidies to assist fossil fuel industries, then ask you to fundraise to clean up the consequences… #QldFloods #Brisbane
Quote Tweet
Peter Dutton
@PeterDutton_MP
 · Feb 27
The water hasn’t gone down yet, and we haven’t seen the full extent of the damage to our community due to catastrophic flooding. We have started a fundraiser to help local residents and businesses who have been affected. https://gofund.me/3aca3c2b
Show this thread
9
37",nan,9,37,Emma Kennedy
2022-02-07T21:05:49.000Z,"Replying to 
@JacquelynGill
I have been working on climate change related conservation for decades. I took a vow in 1982 to include climate change in every public lecture (averaging >100/yr before Covid). I have, for the first time, sought therapy to deal with my growing frustration, anxiety, and angst.
10",nan,nan,10,"Tom Kimmerer, PhD"
2022-04-30T22:50:06.000Z,"Dr Wes Morgan, on why Australia is losing face with this Pacific Family: 

“We want to be the security partner of choice to the Pacific, but when Pacific leaders tell us their number one security threat is climate change, we ignore them.. It is personal.”
smh.com.au
Pacific community pleads for Australian climate action amid regional tension
For years the Pacific told Canberra its key security concern was climate change and were ignored, so Sydney’s Pasifika community wasn’t surprised when the Liberal Party ignored invitations to an...
1
18
46",1,18,46,Climate Council
2022-04-13T22:50:19.000Z,"Replying to 
@darinsquared
 @brendan_galway
 and 
@PierrePoilievre
Nobody cares what your opinion is about the science of climate change, as you have no credibility.

#ClimateBrawl #ClimateCrisis #ClimateEmergency
4
4
18",4,4,18,Gerald Kutney - a friend of #ClimateBrawl
2022-07-13T11:30:20.000Z,"Meeting climate targets requires reducing fossil fuel's share of our global energy system by about 2-3 percentage points per year.

Last year's change was +0.3 percentage points.  

We aren't even moving the right direction.
37
426
861",37,426,861,Dr. Robert Rohde
2022-04-06T23:54:51.000Z,"I promise you that environmentalists won’t be the only ones feeling the effects of climate change.
Quote Tweet
Terry Roberts
@TRobertst
 · Apr 6
The drill bit seems to be out of the bag. Sources telling me the Bay du Nord oil project will get federal approval before the supperhour. A win for the province's economy and the oil sector, but a blow to environmentalists fighting against the project. #nlpoli
1
11
68",1,11,68,Paris Marx
2022-01-30T21:04:08.000Z,"Hi! My name is Walid from Algeria, I'm a PhD in marine & coastal geosciences. I work as a GIS officer and trainer, and my research focused on coastal erosion and submersion risks in Algerian center coasts, I'm interested on GIS, climate change and sustainable development. (4/12)
1
1
13",1,1,13,Deep Ocean Observing Strategy
2022-07-12T18:07:30.000Z,"They think they're wizards. They just utter the special incantations and expect to be given their way, which they believe will allow them to reorder the world according to their wishes, which they only can't do because of other people.
phys.org
Climate change is white colonization of the atmosphere. It's time to tackle this entrenched racism
""Climate change is racist."" So reads the title of a recent book by British journalist Jeremy Williams. While this title might seem provocative, it's long been recognized that people of color suffer...
17
81
395",17,81,395,"James Lindsay, equipping my war moms"
2022-01-25T22:50:43.000Z,"Bravo 
@BostonGlobe
 for expanded coverage of climate change & sharper focus: local impact, what works, that stands in way. Every day matters 
@shankman
 @davabel
 @swilmsen
 @dharnoor
 @janellenanos
bostonglobe.com
Into the Red
Into the Red - Climate and the fight of our lives
3
12",nan,3,12,LWV Massachusetts
2022-05-05T22:49:02.000Z,"The 
@WorldFoodPrize
 is honoring a #NASA climate scientist and agronomist whose work pioneered connections between climate change and food systems. via 
@agripulse
  #WomenInSTEM
agri-pulse.com
Climatologist who pioneered ag impact modeling wins 2022 World Food Prize
NASA scientist Cynthia Rosenzweig, a renowned climatologist and an agronomist who founded a global project for modeling the impact of climate change on the food supply, was announced Thursday as the...
5
5",nan,5,5,Amy Mayer
2022-03-22T23:42:26.000Z,"We are buckling under the pressure of threats like climate change, misinformation and unchecked inequality. We need “a bolder approach to using science to absorb the shocks of the coming decades.” 

Read our full remarks here: https://bit.ly/SRSRremarks #SRSR 5/5
evidencefordemocracy.ca
Evidence for Democracy remarks at the Standing Committee on Science
4
16",nan,4,16,Evidence for Democracy
2022-05-27T20:59:52.000Z,"Replying to 
@elonmusk
 @GoLowCrypto
 and 2 others
For now…unless we actually address climate change. 

Which we haven’t.

You might want to pressure the members of your newly affiliated political party to stop denying climate change exists.
36
1
15",36,1,15,tubes
2022-05-03T22:56:13.000Z,"""I was deputy leader of the Liberals. The party I served has lost its way"" - Fred Chaney calling out the Liberals on climate change, Robodebt, refugee policies, accountability etc & (in interview on 
@RNBreakfast
 on the Uluru Statement) #AusVotesHealth2022
smh.com.au
I was deputy leader of the Liberals. The party I served has lost its way
The Liberal Party is held hostage by its extremes. There is no capacity to reform from within. The system needs to be changed by us, the electorate.
4
10",nan,4,10,Marie McInerney
2022-07-13T07:06:41.000Z,"So 
@AlboMP
 tells our Pacific neighbours that climate change is the most vital issue facing our countries. When China invades us all, I dare say our collective temperatures will rise, but that’s as close as we will get.  Lunacy
172
96
587",172,96,587,Prue MacSween
2022-05-19T23:47:18.000Z,"My brilliant friend, Van,  on the Australian election and climate change.
Quote Tweet
Van Badham
@vanbadham
 · May 20
My latest in the @nytimes is on the #auspol election, and how Morrison may have ignored climate change, but climate change is not ignoring him. 

https://nytimes.com/2022/05/19/opinion/australia-election-scott-morrison-climate.html?referringSource=articleShare…
1
5
36",1,5,36,Sagit Schwartz
2022-03-17T21:00:04.000Z,"Climate change is happening right now and affecting small-scale farmers the most.

The solution? #ClimateAdaptation.

Here is why 
ifad.org
Why invest in climate change adaptation? Your questions answered
It’s official: human-induced climate change is happening. Some of its effects are already being felt, and further impacts are inevitable. Alongside mitigating our greenhouse gas emissions, we need to...
13
23",nan,13,23,International Fund for Agricultural Development
2022-02-28T23:46:02.000Z,"The common threads between climate denial & Covid denial are that they both disproportionately affect the poor/vulnerable & people perceive mitigations to be at odds with short-term economic gain. So those who are comfortable & feel safe would rather “live with it” than change.
25
809
3,391",25,809,"3,391",Katie Mack
2022-04-18T22:56:19.000Z,"Replying to 
@MichelleCLeigh
 and 
@PeterParadoxGG
XRP not better because its designed to prop up the existing financial system which is responsible for climate change.
2
2
43",2,2,43,jyn urso
2022-01-24T23:12:25.000Z,"Excited to announce that I’ve joined 
@eesalbnl
 @ENERGY
 as their new Chief Development Officer for Research! I’ll be focusing on developing #strategic initiatives & partnerships across #water & #energy sectors to address our pressing #environmental challenges under #climate-change
Quote Tweet
Earth and Environmental Sciences at Berkeley Lab
@eesalbnl
 · Jan 24
 Welcoming @NewshaAjami as EESA’s new Chief Development Officer for Research! Ajami is a leading expert in smart cities , resilient infrastructure  , and sustainable water resource management - read more at https://eesa.lbl.gov/newsha-ajami-joins-eesa-as-chief-development-officer-for-research/…
41
15
216",41,15,216,Newsha Ajami
2022-07-16T05:01:05.000Z,"This startup says it's genetically modified hybrid poplar trees to grow faster so they'll absorb more carbon dioxide and help minimize the damage of climate change
cnn.com
This supercharged tree might help fight climate change | CNN Business
The problem with trees is that they are too slow.
15
31
150",15,31,150,CNN International
2022-01-26T23:42:03.000Z,"Also can not be said enough: a national transition to clean energy would *more* than pay for itself through the health benefits of reduced air pollution alone. You don't need to bring climate change into it at all.
13
122
530",13,122,530,David Roberts
